grupo,categoria,titulo,url,logo,fonte,tipo,anime,episodio
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP01,https://cdn.animeiat.tv/files/28323/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP01%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28323/frZ8L2JimRc0AF1v85.jpg,external-anime,Anime,Himouto! Umaru-chan,1
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP02,https://cdn.animeiat.tv/files/28316/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP02%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28316/OJO76ot88bJ29p4L65.jpg,external-anime,Anime,Himouto! Umaru-chan,2
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP03,https://cdn.animeiat.tv/files/28317/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP03%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28317/eGgDp98zCROHndRX65.jpg,external-anime,Anime,Himouto! Umaru-chan,3
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP04,https://cdn.animeiat.tv/files/28324/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP04%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28324/NOXTQyRXhBEeWH3o10.jpg,external-anime,Anime,Himouto! Umaru-chan,4
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP05,https://cdn.animeiat.tv/files/28315/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP05%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28315/LNMd9bm1QgSJdkIq10.jpg,external-anime,Anime,Himouto! Umaru-chan,5
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP06,https://cdn.animeiat.tv/files/28313/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP06%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28313/bFLKzXwNyKuGnHPQ85.jpg,external-anime,Anime,Himouto! Umaru-chan,6
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP07,https://cdn.animeiat.tv/files/28320/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP07%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28320/TsFP6vyKSDcML1GA30.jpg,external-anime,Anime,Himouto! Umaru-chan,7
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP08,https://cdn.animeiat.tv/files/28318/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP08%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28318/9f6QcpxABoodx0rz65.jpg,external-anime,Anime,Himouto! Umaru-chan,8
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP09,https://cdn.animeiat.tv/files/28322/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP09%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28322/WmVNU43eNvhWEtpH30.jpg,external-anime,Anime,Himouto! Umaru-chan,9
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP10,https://cdn.animeiat.tv/files/28319/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP10%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28319/dvNePQ8e27xRYKdT10.jpg,external-anime,Anime,Himouto! Umaru-chan,10
Series,Anime | Himouto! Umaru-chan | 12 eps,Himouto! Umaru-chan - EP11,https://cdn.animeiat.tv/files/28321/%5BAnimeiat.co%5DHimouto%21_Umaru-chan_-_EP11%5B720p%5D.mp4,https://api.animeiat.co/storage/thumbnails/28321/ZmVZnxG0gdirDq0010.jpg,external-anime,Anime,Himouto! Umaru-chan,11
