grupo,categoria,titulo,url,logo,tvg_id,fonte
Filmes,Movies,4ever Cinema,https://iptv.prosto.tv/ch42/tracks-v2a1/mono.m3u8?live=1&ip=178.136.40.86&id=921233&secret=9szoe89y&21yo=0&e=1783523108&st=Asr1KmKTqcqldcTO-GvddA,https://i.imgur.com/vFOgVbG.png,4everCinema.ua@SD,iptv-org
Filmes,Movies,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Movies"",24 Hour Free Movies (720p)",https://d1b5mlajbmvkjv.cloudfront.net/v1/master/9d062541f2ff39b5c0f48b743c6411d25f62fc25/UDU-DistroTV/145.m3u8?ads.vf=7FhdsxqVxOi,https://i.imgur.com/iSVnzR1.png,24HourFreeMovies.us@SD,iptv-org
Filmes,Movies;Series,27 TwentySeven [Geo-blocked],https://live2.msf.cdn.mediaset.net/content/hls_h0_cls_vos/live/channel(ts)/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Twentyseven_logo.svg/960px-Twentyseven_logo.svg.png,Twentyseven.it@SD,iptv-org
Filmes,Movies,30A TV Classic Movies (720p),https://30a-tv.com/feeds/pzaz/30atvmovies.m3u8,https://babaktv.com/wp-content/uploads/2023/09/30A-Classi-Movies.jpeg,30ATVClassicMovies.us@SD,iptv-org
Filmes,Movies,312 Кино (406p),http://176.126.166.43:1935/live/312kino/playlist.m3u8,https://i.ibb.co/3m9LrLj/k7gIibH.png,312Kino.kg@SD,iptv-org
Filmes,Movies,&flix HD (1080p),http://103.72.101.252:8080/live/1322.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_SYMANDFLIX/images/LOGO_HD/LOGO_HD_image.png,Andflix.in@HD,iptv-org
Filmes,Movies,&pictures HD (1080p),http://103.72.101.252:8080/live/185.m3u8,https://dtil.tmsimg.com/assets/GNLZZGG0022J67R.png?lock=720x540,Andpictures.in@HD,iptv-org
Filmes,Movies,&TV (576p),http://103.229.254.25:7001/play/a09v/index.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_SYMANDTV/images/LOGO_HD/LOGO_HD_image.png,AndTV.in@SD,iptv-org
Filmes,Movies,&TV International (1080p),https://amg01117-amg01117c1-amgplt0029.playout.now3.amagi.tv/playlist/amg01117-amg01117c1-amgplt0029/playlist.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_SYMANDTV/images/LOGO_HD/LOGO_HD_image.png,AndTV.in@International,iptv-org
Filmes,Movies,&xplor HD (1080p),http://149.71.34.166:8000/play/a001/index.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_SYMANDXPLOR_HD/images/LOGO_HD/LOGO_HD_image.png,AndxplorHD.in@HD,iptv-org
Filmes,Movies;Religious,ABN Bible Movies (720p),https://mediaserver.abnvideos.com/streams/abnbiblemovies.m3u8,https://i.imgur.com/NCqZdaL.png,ABNBibleMoviesChannel.us@SD,iptv-org
Filmes,Movies,Action 24 (1080p),http://actionlive.siliconweb.com/actionabr/actiontv/playlist.m3u8,https://upload.wikimedia.org/wikipedia/commons/8/88/Action24-logo-small.png,Action24.gr@SD,iptv-org
Filmes,Movies,Afghan Nobel Movies (720p),https://live.relentlessinnovations.net:1936/afghannobel/afghannobel/playlist.m3u8,https://i.ibb.co/zfdbVSm/logo-1.png,AfghanNobelMovies.ca@SD,iptv-org
Filmes,Movies,Aflam (1080p),https://shd-amg-fast.edgenextcdn.net/tx001/playlist.m3u8,https://i.imgur.com/cTLj7Yt.png,Aflam.sa@SD,iptv-org
Filmes,Movies,Afra Film,https://afrafhls.wns.live/hls/stream.m3u8,,AfraFilm.ir@SD,iptv-org
Filmes,Movies,Afriwood Blockbuster (720p),https://streamdot.broadpeak.io/cff02a74da64d145c102a2d012758398/afxpstr/AfriwoodBlockbuster/index.m3u8,https://i.imgur.com/aESdqiB.png,AfriwoodBlockbuster.za@SD,iptv-org
Filmes,Movies,Alankar TV (720p),https://livetv.tarangplus.in/alankar-origin/live/playlist.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_ALANKAR/images/LOGO_HD/image.png,AlankarTV.in@SD,iptv-org
Filmes,Movies,Alien Nation by DUST (1080p),https://dqi7ayt2o24fn.cloudfront.net/playlist.m3u8,https://i.imgur.com/FxYhME9.png,DUST.us@SD,iptv-org
Filmes,Movies,All Time Movies (576p),https://mumt03.tangotv.in/ALLTIMEMOVIES/index.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_ALL_TIME_MOVIES/images/LOGO_HD/image.png,AllTimeMovies.in@SD,iptv-org
Filmes,Comedy;Family;Movies,alpha Cinema (1080p),https://live.15plusmg.ru/memfs/b389173a-df4e-4171-8904-e249893e71eb.m3u8,https://i.imgur.com/146OgfU.png,alphaCinema.ru@HD,iptv-org
Filmes,Comedy;Movies,alpha Moretime (1080p),https://live.15plusmg.ru/memfs/3546fc09-2eba-459d-9a1f-9a2fc39e50bd.m3u8,https://i.imgur.com/ibQfUr7.png,alphaMoretime.ru@HD,iptv-org
Filmes,Culture;Documentary;Entertainment;General;Movies;Music,Alterna TV (720p) [Not 24/7],https://tv.alterna.ar/stream/hls/live.m3u8,https://tv.alterna.ar/alternatv.png,AlternaTV.ar@SD,iptv-org
Filmes,Movies,AMC Europe [Not 24/7],http://315e5a5d.ottrast.com/iptv/MM4E93NGF5LADZ/6949/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/AMC_logo_2019.svg/960px-AMC_logo_2019.svg.png,AMCEurope.uk@RO,iptv-org
Filmes,Movies;Series,Amedia Hit (720p),http://31.148.48.15/Amedia_HIT_HD/index.m3u8,https://i.imgur.com/a8ZBGBw.png,AmediaHit.ru@SD,iptv-org
Filmes,Movies;Series,Amedia Premium (720p),http://31.148.48.15/Amedia_Premium_HD/index.m3u8,https://i.imgur.com/UUjehw9.png,AmediaPremium.ru@SD,iptv-org
Filmes,Movies,American Horrors (480p),http://107.167.7.162:8081/playlist/amhor/playlist.m3u8,https://image.roku.com/developer_channels/prod/16f5571a82819e8992a748c70b256cbe63105f4b546b73d129668dc2cb701d91.png,AmericanHorrors.us@SD,iptv-org
Filmes,Movies,"like Gecko) Chrome/147.0.0.0 Safari/537.36"" group-title=""Movies"",Anmol Cinema (576p)",http://103.175.73.12:8080/live/271/271_0.m3u8,https://dtil.tmsimg.com/assets/GNLZZGG00260YG8.png?lock=720x540,AnmolCinema.in@SD,iptv-org
Filmes,Movies,"like Gecko) Chrome/147.0.0.0 Safari/537.36"" group-title=""Movies"",Anmol Cinema 2 (576p)",http://103.175.73.12:8080/live/257/257_0.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_ZEE_ANMOL_CINEMA_2/images/LOGO_HD/LOGO_HD_image.png,AnmolCinema2.in@SD,iptv-org
Filmes,Classic;Movies,Artflix Movie Classics (720p),https://amogonetworx-artflix-1-nl.samsung.wurl.tv/playlist.m3u8,https://i.imgur.com/5pOZQB4.png,ARTFLIXMovieClassics.us@SD,iptv-org
Filmes,Movies,Asianet Movies (576p),https://anet.keralive.workers.dev/v1/master/a0d007312bfd99c47f76b77ae26b1ccdaae76cb1/asianetmovies_live_https/index.m3u8,https://i.imgur.com/cps67hs.png,AsianetMovies.in@SD,iptv-org
Filmes,Movies,Asianet Movies HD (1080p),http://149.71.34.166:8000/play/a06e/index.m3u8,https://i.imgur.com/cps67hs.png,AsianetMovies.in@HD,iptv-org
